CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11026,MR.,HAROLD,SAI,03/04/1946,S,M,harold3@adventure-works.com,30000,2,Partial College,Clerical,0
11027,MR.,JESSIE,ZHAO,07/12/1946,M,M,jessie16@adventure-works.com,30000,2,Partial College,Clerical,1
11028,MRS.,JILL,JIMENEZ,11/04/1946,M,F,jill13@adventure-works.com,30000,2,Partial College,Clerical,1
11029,MR.,JIMMY,MORENO,21/12/1946,M,M,jimmy9@adventure-works.com,30000,2,Partial College,Clerical,1
11030,MRS.,BETHANY,YUAN,22/02/1947,M,F,bethany10@adventure-works.com,10000,2,Partial High School,Clerical,1
11031,MRS.,THERESA,RAMOS,22/08/1947,M,F,theresa13@adventure-works.com,20000,4,High School,Skilled Manual,1
11032,MRS.,DENISE,STONE,11/06/1947,M,F,denise10@adventure-works.com,20000,4,High School,Skilled Manual,1
11033,MR.,JAIME,NATH,23/09/1947,M,M,jaime41@adventure-works.com,20000,4,High School,Skilled Manual,1
11034,MRS.,EBONY,GONZALEZ,19/06/1947,M,F,ebony19@adventure-works.com,20000,4,High School,Skilled Manual,1
11035,NULL,WENDY,DOMINGUEZ,24/02/1948,M,NA,wendy12@adventure-works.com,10000,2,Partial High School,Clerical,1
11036,MS.,JENNIFER,RUSSELL,18/12/1978,M,F,jennifer93@adventure-works.com,60000,0,Partial College,Skilled Manual,1
11037,MS.,CHLOE,GARCIA,27/11/1977,S,F,chloe27@adventure-works.com,40000,0,Partial High School,Clerical,0
11038,MRS.,DIANA,HERNANDEZ,23/03/1948,M,F,diana2@adventure-works.com,10000,2,Partial High School,Clerical,1
11039,MR.,MARC,MARTIN,17/12/1948,M,M,marc3@adventure-works.com,30000,3,Partial College,Clerical,1
11040,MR.,JESSE,MURPHY,01/08/1977,M,M,jesse15@adventure-works.com,30000,0,Partial College,Skilled Manual,1
11041,MS.,AMANDA,CARTER,16/10/1977,M,F,amanda53@adventure-works.com,60000,0,Partial College,Skilled Manual,1
11042,MS.,MEGAN,SANCHEZ,13/06/1977,M,F,megan28@adventure-works.com,70000,0,Partial College,Skilled Manual,1
11043,MR.,NATHAN,SIMMONS,24/02/1976,M,M,nathan11@adventure-works.com,60000,0,Partial College,Skilled Manual,1
11044,MR.,ADAM,FLORES,24/05/1949,M,M,adam10@adventure-works.com,20000,2,Partial High School,Clerical,1
11045,MR.,LEONARD,NARA,19/05/1950,S,M,leonard18@adventure-works.com,30000,3,High School,Skilled Manual,0
11046,MRS.,CHRISTINE,YUAN,22/03/1950,M,F,christine4@adventure-works.com,30000,3,High School,Skilled Manual,1
11047,MRS.,JACLYN,LU,27/02/1950,M,F,jaclyn12@adventure-works.com,30000,3,High School,Skilled Manual,0
11048,MR.,JEREMY,POWELL,22/11/1950,M,M,jeremy26@adventure-works.com,30000,3,High School,Skilled Manual,1
11049,MS.,CAROL,RAI,18/07/1980,S,F,carol8@adventure-works.com,40000,0,Partial High School,Clerical,1
11050,MR.,ALAN,ZHENG,07/09/1951,M,M,alan23@adventure-works.com,30000,3,High School,Skilled Manual,1
11051,MR.,DANIEL,JOHNSON,04/08/1951,S,M,daniel18@adventure-works.com,30000,3,High School,Skilled Manual,0
11052,MRS.,HEIDI,LOPEZ,07/08/1951,S,F,heidi19@adventure-works.com,40000,2,Partial College,Clerical,0
11053,MS.,ANA,PRICE,20/08/1980,M,F,ana0@adventure-works.com,60000,0,Partial College,Skilled Manual,0
11054,MRS.,DEANNA,MUNOZ,10/03/1952,M,F,deanna33@adventure-works.com,40000,2,Partial College,Skilled Manual,1
11055,MR.,GILBERT,RAJE,05/03/1952,M,M,gilbert35@adventure-works.com,40000,2,Partial College,Skilled Manual,1
11056,MRS.,MICHELE,NATH,03/04/1953,M,F,michele19@adventure-works.com,40000,3,Partial College,Skilled Manual,1
11057,MR.,CARL,ANDERSEN,12/10/1953,M,M,carl12@adventure-works.com,70000,2,Graduate Degree,Management,1
11058,MR.,MARC,DIAZ,27/04/1954,M,M,marc6@adventure-works.com,80000,2,Partial College,Skilled Manual,1
11059,MRS.,ASHLEE,ANDERSEN,01/04/1954,S,F,ashlee19@adventure-works.com,80000,2,Partial College,Skilled Manual,1
11060,MR.,JON,ZHOU,17/03/1954,M,M,jon28@adventure-works.com,80000,2,Partial College,Skilled Manual,1
11061,MR.,TODD,GAO,27/02/1954,M,M,todd14@adventure-works.com,80000,2,Partial College,Skilled Manual,1
11062,MR.,NOAH,POWELL,02/09/1975,M,M,noah5@adventure-works.com,40000,0,High School,Skilled Manual,1
11063,MS.,ANGELA,MURPHY,07/04/1975,S,F,angela41@adventure-works.com,40000,0,High School,Skilled Manual,1
11064,MR.,CHASE,REED,07/12/1975,M,M,chase21@adventure-works.com,40000,0,High School,Skilled Manual,1
11065,MS.,JESSICA,HENDERSON,09/10/1973,M,F,jessica29@adventure-works.com,60000,0,Partial College,Skilled Manual,0
11066,MS.,GRACE,BUTLER,27/11/1973,M,F,grace62@adventure-works.com,70000,0,Partial College,Professional,1
11067,MR.,CALEB,CARTER,25/09/1976,S,M,caleb40@adventure-works.com,60000,0,Partial College,Professional,1
11068,MRS.,TIFFANY,LIANG,23/09/1955,S,F,tiffany17@adventure-works.com,80000,2,High School,Skilled Manual,1
11069,MRS.,CAROLYN,NAVARRO,21/09/1955,S,F,carolyn30@adventure-works.com,80000,2,High School,Skilled Manual,0
11070,MR.,WILLIE,RAJI,05/04/1955,M,M,willie40@adventure-works.com,80000,2,High School,Skilled Manual,1
11071,MRS.,LINDA,SERRANO,26/06/1955,S,F,linda31@adventure-works.com,80000,2,High School,Skilled Manual,1
11072,MRS.,CASEY,LUO,06/02/1955,S,F,casey6@adventure-works.com,80000,2,High School,Skilled Manual,0
11073,MRS.,AMY,YE,14/08/1956,S,F,amy16@adventure-works.com,70000,2,High School,Skilled Manual,1
11074,MR.,LEVI,ARUN,28/08/1956,S,M,levi6@adventure-works.com,70000,2,High School,Skilled Manual,1
11075,MRS.,FELICIA,JIMENEZ,16/11/1957,S,F,felicia4@adventure-works.com,80000,2,High School,Professional,1
11076,MR.,BLAKE,ANDERSON,13/07/1957,S,M,blake9@adventure-works.com,80000,2,High School,Professional,1
11077,MRS.,LEAH,YE,19/09/1957,S,F,leah7@adventure-works.com,80000,2,High School,Professional,0
11078,MS.,GINA,MARTIN,10/01/1974,S,F,gina1@adventure-works.com,40000,0,High School,Professional,0
11079,MR.,DONALD,GONZALEZ,11/03/1959,S,M,donald20@adventure-works.com,160000,0,Graduate Degree,Management,1
11080,MR.,DAMIEN,CHANDER,17/07/1959,M,M,damien32@adventure-works.com,170000,0,Graduate Degree,Management,1
11081,MRS.,SAVANNAH,BAKER,24/07/1966,M,F,savannah39@adventure-works.com,120000,2,Bachelors,Management,1
11082,NULL,ANGELA,BUTLER,04/08/1966,S,NA,angela17@adventure-works.com,130000,0,Graduate Degree,Management,0
11083,MS.,ALYSSA,COX,15/03/1966,M,F,alyssa37@adventure-works.com,130000,0,Graduate Degree,Management,1
11084,MR.,LUCAS,PHILLIPS,12/09/1957,S,M,lucas7@adventure-works.com,80000,2,Partial High School,Skilled Manual,0
11085,MRS.,EMILY,JOHNSON,19/07/1957,S,F,emily1@adventure-works.com,60000,2,High School,Professional,0
11086,MR.,RYAN,BROWN,23/12/1957,M,M,ryan43@adventure-works.com,70000,2,Partial College,Professional,1
11087,MRS.,TAMARA,LIANG,03/10/1957,M,F,tamara6@adventure-works.com,70000,3,Partial College,Professional,0
11089,MRS.,ABIGAIL,PRICE,05/02/1957,S,F,abigail25@adventure-works.com,80000,2,Bachelors,Management,1
11090,MR.,TREVOR,BRYANT,17/12/1957,S,M,trevor18@adventure-works.com,90000,2,Partial College,Professional,1
11091,MR.,DALTON,PEREZ,04/04/1957,M,M,dalton37@adventure-works.com,90000,2,Partial College,Professional,1
11092,MRS.,CHERYL,DIAZ,06/05/1967,M,F,cheryl4@adventure-works.com,90000,2,Bachelors,Professional,1
11093,MS.,AIMEE,HE,10/09/1967,M,F,aimee13@adventure-works.com,100000,0,Graduate Degree,Management,1
11094,MR.,CEDRIC,MA,01/04/1962,S,M,cedric15@adventure-works.com,70000,1,Partial College,Skilled Manual,0
11095,MR.,CHAD,KUMAR,01/09/1962,S,M,chad9@adventure-works.com,70000,1,Partial College,Skilled Manual,1
11096,MR.,ANDR?S,ANAND,10/08/1962,M,M,andr?s18@adventure-works.com,60000,1,Bachelors,Professional,1
11097,MR.,EDWIN,NARA,27/10/1961,M,M,edwin39@adventure-works.com,60000,1,Partial College,Skilled Manual,1
11098,MRS.,MALLORY,RUBIO,01/05/1961,S,F,mallory7@adventure-works.com,60000,1,Partial College,Skilled Manual,0
11099,MR.,ADAM,ROSS,08/03/1961,M,M,adam2@adventure-works.com,60000,1,Bachelors,Professional,1
11100,MRS.,LATASHA,NAVARRO,15/09/1960,S,F,latasha10@adventure-works.com,60000,1,Partial College,Skilled Manual,1
11101,MS.,ABBY,SAI,08/05/1965,S,F,abby4@adventure-works.com,70000,0,Bachelors,Professional,0
11102,MRS.,JULIA,NELSON,21/04/1965,S,F,julia7@adventure-works.com,80000,5,Bachelors,Professional,1
11103,MS.,CASSIE,CHANDE,17/10/1964,S,F,cassie13@adventure-works.com,70000,0,Bachelors,Professional,1
11104,MR.,EDGAR,SARA,11/03/1964,M,M,edgar11@adventure-works.com,70000,0,Bachelors,Professional,0
11105,MS.,CANDACE,FERNANDEZ,28/12/1964,S,F,candace15@adventure-works.com,70000,0,Bachelors,Professional,0
11106,MR.,JESSIE,LIU,11/09/1964,S,M,jessie9@adventure-works.com,70000,0,Bachelors,Professional,0
11107,MRS.,BIANCA,LIN,09/09/1959,M,F,bianca7@adventure-works.com,90000,1,Bachelors,Professional,1
11108,MS.,KARI,ALVAREZ,14/07/1963,S,F,kari25@adventure-works.com,70000,0,Bachelors,Professional,0
11109,MR.,RUBEN,KAPOOR,05/11/1963,S,M,ruben1@adventure-works.com,70000,0,Bachelors,Professional,0
11110,MR.,CURTIS,YANG,06/06/1962,M,M,curtis5@adventure-works.com,60000,1,Partial College,Skilled Manual,1
11111,MRS.,MEREDITH,GUTIERREZ,23/02/1962,M,F,meredith34@adventure-works.com,60000,1,Partial College,Skilled Manual,1
11112,MRS.,CRYSTAL,WANG,09/09/1962,M,F,crystal3@adventure-works.com,60000,1,Partial College,Skilled Manual,1
11113,MR.,MICHEAL,BLANCO,21/02/1962,M,M,micheal11@adventure-works.com,70000,5,Bachelors,Professional,1
11114,MRS.,LESLIE,MORENO,28/05/1962,S,F,leslie7@adventure-works.com,70000,5,Partial College,Skilled Manual,1
11115,MR.,ALVIN,CAI,12/02/1962,M,M,alvin20@adventure-works.com,70000,5,Partial College,Skilled Manual,1
11116,MR.,CLINTON,CARLSON,07/10/1962,M,M,clinton14@adventure-works.com,70000,5,Partial College,Skilled Manual,1
11117,MRS.,APRIL,DENG,21/02/1961,M,F,april1@adventure-works.com,70000,5,Partial College,Skilled Manual,1
11118,MR.,ALVIN,ZENG,03/07/1957,S,M,alvin21@adventure-works.com,80000,1,Partial College,Skilled Manual,0
11119,MR.,EVAN,JAMES,10/04/1935,S,M,evan8@adventure-works.com,30000,2,Partial College,Clerical,0
11121,MR.,ORLANDO,SUAREZ,18/11/1960,M,M,orlando19@adventure-works.com,70000,5,Partial College,Skilled Manual,1
11122,MR.,BYRON,VAZQUEZ,02/04/1960,M,M,byron9@adventure-works.com,70000,5,Partial College,Skilled Manual,1
11123,MR.,PHILIP,ALVAREZ,20/06/1960,M,M,philip4@adventure-works.com,70000,5,Partial College,Skilled Manual,1
11124,MR.,ROSS,JORDAN,27/07/1957,S,M,ross1@adventure-works.com,80000,1,Partial College,Skilled Manual,1
11125,MRS.,DANA,NAVARRO,08/04/1956,S,F,dana2@adventure-works.com,70000,1,Partial College,Skilled Manual,1
11126,MR.,SHAUN,CARSON,07/04/1949,M,M,shaun16@adventure-works.com,10000,2,High School,Skilled Manual,0
11127,MS.,JAN,EDWARDS,21/10/1975,M,F,jan11@adventure-works.com,40000,0,High School,Skilled Manual,1
11128,MS.,SAMANTHA,LONG,05/12/1975,M,F,samantha35@adventure-works.com,40000,0,High School,Skilled Manual,1
11129,MS.,JULIA,WRIGHT,05/08/1975,S,F,julia17@adventure-works.com,40000,0,High School,Skilled Manual,1
11130,MS.,CAROLINE,RUSSELL,06/01/1980,M,F,caroline21@adventure-works.com,30000,0,High School,Skilled Manual,1
11131,MS.,AMANDA,RIVERA,12/03/1980,M,F,amanda7@adventure-works.com,30000,0,High School,Skilled Manual,0
11132,MS.,MELISSA,RICHARDSON,26/10/1980,S,F,melissa31@adventure-works.com,30000,0,High School,Skilled Manual,0
11133,MS.,ANGELA,GRIFFIN,08/09/1980,S,F,angela23@adventure-works.com,30000,0,Partial High School,Clerical,0
11134,MR.,LARRY,TOWNSEND,26/02/1946,S,M,larry14@adventure-works.com,10000,5,High School,Skilled Manual,1
11135,MR.,MARCUS,HARRIS,03/11/1979,S,M,marcus14@adventure-works.com,30000,0,Partial High School,Clerical,0
11136,MS.,BRIANNA,MORGAN,26/10/1978,S,F,brianna30@adventure-works.com,40000,0,High School,Skilled Manual,0
11137,MS.,JASMINE,TAYLOR,20/07/1978,M,F,jasmine7@adventure-works.com,40000,0,High School,Skilled Manual,1
11138,MS.,LAUREN,DAVIS,15/09/1978,M,F,lauren23@adventure-works.com,40000,0,High School,Skilled Manual,0
11139,MRS.,TANYA,MORENO,09/11/1938,S,F,tanya2@adventure-works.com,30000,2,Partial College,Clerical,0
11140,MR.,JAVIER,ALVAREZ,11/02/1977,S,M,javier1@adventure-works.com,30000,0,Partial High School,Clerical,0
11141,MS.,NICOLE,RAMIREZ,21/06/1977,M,F,nicole42@adventure-works.com,40000,0,High School,Skilled Manual,0
11142,MR.,EDUARDO,PATTERSON,14/08/1977,S,M,eduardo55@adventure-works.com,40000,0,High School,Skilled Manual,0
11143,MR.,JONATHAN,HENDERSON,04/02/1977,M,M,jonathan4@adventure-works.com,40000,0,High School,Skilled Manual,1
11144,MR.,EDWARD,HERNANDEZ,09/09/1979,S,M,edward48@adventure-works.com,40000,0,High School,Skilled Manual,0
11145,MS.,JASMINE,COLEMAN,08/12/1979,S,F,jasmine46@adventure-works.com,40000,0,High School,Skilled Manual,0
11146,MRS.,KARLA,GOEL,26/08/1939,S,F,karla20@adventure-works.com,40000,2,Bachelors,Management,1
11147,MR.,ERNEST,WU,05/02/1939,M,M,ernest6@adventure-works.com,60000,2,Graduate Degree,Management,1
11148,MR.,ROSS,VAZQUEZ,16/08/1941,M,M,ross32@adventure-works.com,40000,2,Bachelors,Management,1
11149,MR.,THEODORE,GILL,20/04/1941,M,M,theodore14@adventure-works.com,40000,2,Bachelors,Management,1
11150,MR.,RUSSELL,SHEN,15/03/1941,S,M,russell6@adventure-works.com,40000,2,Bachelors,Management,1
11151,MRS.,MELINDA,GILL,25/02/1942,S,F,melinda9@adventure-works.com,60000,2,Graduate Degree,Management,0
11152,MR.,JAMES,WILLIAMS,10/01/1976,S,M,james77@adventure-works.com,40000,0,High School,Skilled Manual,1
11153,MS.,ANGELA,JAMES,23/06/1976,M,F,angela34@adventure-works.com,40000,0,High School,Skilled Manual,1
11154,MS.,MEGAN,WALKER,21/08/1976,S,F,megan25@adventure-works.com,40000,0,Partial College,Skilled Manual,1
11155,MR.,HUNTER,ROBINSON,26/01/1976,S,M,hunter50@adventure-works.com,40000,0,Partial College,Skilled Manual,0
11156,MS.,MARIA,ROBERTS,07/02/1976,S,F,maria47@adventure-works.com,40000,0,Partial College,Skilled Manual,0
11157,MS.,HANNAH,LONG,11/06/1975,M,F,hannah32@adventure-works.com,40000,0,High School,Skilled Manual,1
11158,MR.,JASON,WRIGHT,08/10/1975,S,M,jason46@adventure-works.com,40000,0,High School,Skilled Manual,1
11159,MS.,BRIANNA,HUGHES,17/09/1975,S,F,brianna57@adventure-works.com,40000,0,High School,Skilled Manual,0
11160,MR.,MAURICE,TANG,08/01/1974,S,M,maurice4@adventure-works.com,40000,0,Partial College,Skilled Manual,0
11161,MS.,EMILY,WOOD,22/04/1974,S,F,emily27@adventure-works.com,40000,0,Partial College,Skilled Manual,0
11162,MR.,CHASE,COX,05/03/1974,S,M,chase10@adventure-works.com,40000,0,Partial College,Skilled Manual,1
11163,MR.,GABRIEL,WANG,20/12/1974,M,M,gabriel21@adventure-works.com,40000,0,Partial College,Skilled Manual,1
11164,MR.,DEVIN,BROOKS,05/05/1974,S,M,devin63@adventure-works.com,40000,0,Partial College,Skilled Manual,0
11165,MS.,JOCELYN,ALEXANDER,18/07/1973,M,F,jocelyn18@adventure-works.com,60000,0,Partial College,Skilled Manual,0
11166,MS.,ASHLEY,MARTINEZ,24/04/1972,S,F,ashley18@adventure-works.com,70000,0,Partial College,Skilled Manual,0
11167,MS.,JASMINE,BARNES,01/08/1972,S,F,jasmine43@adventure-works.com,80000,0,Bachelors,Management,0
11168,MR.,DAVID,RODRIGUEZ,15/05/1968,S,M,david83@adventure-works.com,80000,0,Bachelors,Management,0
11169,MR.,BRYCE,RICHARDSON,22/06/1968,M,M,bryce8@adventure-works.com,90000,4,Bachelors,Management,1
11170,MRS.,CAROL,HOWARD,05/02/1968,M,F,carol5@adventure-works.com,90000,4,Bachelors,Management,1
11171,MR.,JONATHAN,HILL,09/10/1967,S,M,jonathan43@adventure-works.com,100000,1,Bachelors,Management,1
11172,MRS.,GABRIELLE,ADAMS,21/11/1967,M,F,gabrielle58@adventure-works.com,100000,1,Bachelors,Management,1
11173,MS.,SARAH,THOMAS,01/09/1967,S,F,sarah13@adventure-works.com,110000,0,Graduate Degree,Management,0
11174,MR.,NICHOLAS,ROBINSON,13/07/1967,M,M,nicholas19@adventure-works.com,110000,0,Graduate Degree,Management,1
11175,MR.,LUIS,WANG,05/03/1963,S,M,luis24@adventure-works.com,70000,0,Partial College,Skilled Manual,1
11176,MR.,MASON,ROBERTS,25/01/1968,M,M,mason25@adventure-works.com,90000,4,Bachelors,Management,1
11177,MR.,JOSE,FLORES,04/07/1942,M,M,jose6@adventure-works.com,110000,2,Graduate Degree,Management,1
11178,MR.,NATHAN,JOHNSON,24/08/1943,M,M,nathan55@adventure-works.com,100000,2,Graduate Degree,Management,1
11179,MRS.,MOLLY,RODRIGUEZ,14/06/1943,M,F,molly18@adventure-works.com,120000,2,Graduate Degree,Management,1
11180,MRS.,APRIL,ANAND,02/01/1943,M,F,april18@adventure-works.com,160000,1,Bachelors,Management,1
11181,MR.,DEVIN,MARTIN,08/08/1943,M,M,devin13@adventure-works.com,170000,2,Graduate Degree,Management,1
11182,MRS.,STEPHANIE,TORRES,25/08/1944,S,F,stephanie19@adventure-works.com,70000,4,Bachelors,Management,1
11183,MRS.,JASMINE,LEE,15/07/1944,S,F,jasmine19@adventure-works.com,70000,4,Bachelors,Management,1
11184,MRS.,MEGHAN,HERNANDEZ,16/11/1944,S,F,meghan3@adventure-works.com,70000,4,Bachelors,Management,1
11185,MRS.,ASHLEY,HENDERSON,08/10/1944,S,F,ashley31@adventure-works.com,70000,4,Bachelors,Management,1
11186,MRS.,SARAH,PRICE,21/05/1944,S,F,sarah25@adventure-works.com,70000,4,Bachelors,Management,1
11187,MRS.,JENNIFER,COOPER,22/02/1944,M,F,jennifer63@adventure-works.com,60000,4,Graduate Degree,Management,1
11188,MRS.,CATHERINE,MORRIS,06/09/1944,M,F,catherine16@adventure-works.com,60000,4,Graduate Degree,Management,0
11190,MR.,CARSON,BRYANT,22/06/1944,M,M,carson17@adventure-works.com,70000,5,Bachelors,Management,1
11191,MRS.,KRISTI,PEREZ,18/12/1945,S,F,kristi39@adventure-works.com,70000,5,Bachelors,Management,1
11192,MR.,JAMES,BROWN,13/09/1945,M,M,james79@adventure-works.com,60000,4,Bachelors,Management,1
11193,MR.,IAN,GRAY,13/02/1945,M,M,ian72@adventure-works.com,60000,4,Bachelors,Management,1
11194,MRS.,JACQUELINE,PRICE,10/06/1945,M,F,jacqueline0@adventure-works.com,60000,4,Bachelors,Management,1
11195,MRS.,MEGAN,HENDERSON,10/02/1946,M,F,megan55@adventure-works.com,60000,5,Bachelors,Management,1
11196,MR.,ALFREDO,ROMERO,07/06/1946,M,M,alfredo10@adventure-works.com,60000,5,Bachelors,Management,1
11197,MRS.,ANDREA,MORRIS,18/06/1946,M,F,andrea18@adventure-works.com,70000,3,Bachelors,Management,0
11198,MRS.,BROOKE,SANDERS,26/11/1946,S,F,brooke3@adventure-works.com,70000,4,Bachelors,Management,1
11199,MRS.,JACQUELINE,BENNETT,06/11/1946,M,F,jacqueline1@adventure-works.com,70000,4,Bachelors,Management,1
11200,MR.,JASON,GRIFFIN,22/11/1947,M,M,jason18@adventure-works.com,70000,4,Bachelors,Management,1
11201,MRS.,AMANDA,FOSTER,18/08/1947,M,F,amanda37@adventure-works.com,70000,4,Bachelors,Management,1
11202,MRS.,ALEXIA,PRICE,26/08/1947,M,F,alexia0@adventure-works.com,80000,5,Bachelors,Management,0
11203,MR.,LUIS,DIAZ,21/08/1948,M,M,luis21@adventure-works.com,40000,2,High School,Professional,1
11205,MRS.,ABBY,FERNANDEZ,24/07/1948,M,F,abby13@adventure-works.com,40000,2,High School,Professional,1
11206,MR.,BLAKE,FLORES,24/09/1948,M,M,blake60@adventure-works.com,60000,2,Partial College,Professional,1
11207,MRS.,DANIELLE,COX,19/07/1948,S,F,danielle12@adventure-works.com,60000,2,Partial College,Professional,1
11208,MRS.,MARIA,REED,04/02/1948,M,F,maria4@adventure-works.com,60000,2,Bachelors,Management,1
11209,MRS.,ALLISON,EVANS,13/01/1948,M,F,allison21@adventure-works.com,60000,2,Bachelors,Management,1
11210,MR.,EDWARD,WOOD,08/06/1948,M,M,edward50@adventure-works.com,70000,4,Partial College,Professional,1
11211,MRS.,SAMANTHA,RUSSELL,12/10/1949,M,F,samantha42@adventure-works.com,40000,2,High School,Professional,1
11212,MRS.,CHLOE,CAMPBELL,05/11/1949,M,F,chloe4@adventure-works.com,40000,2,High School,Professional,1
11213,MRS.,STEPHANIE,MURPHY,14/05/1949,S,F,stephanie11@adventure-works.com,60000,2,Partial College,Professional,1
11214,MR.,CHARLES,MILLER,07/11/1949,S,M,charles9@adventure-works.com,60000,2,Partial College,Professional,1
11215,MRS.,ANA,PERRY,21/06/1950,M,F,ana7@adventure-works.com,40000,2,Partial High School,Skilled Manual,1
11216,MRS.,JASMINE,TORRES,20/05/1950,S,F,jasmine32@adventure-works.com,60000,2,Partial College,Professional,1
11217,MRS.,NATALIE,ADAMS,11/02/1950,S,F,natalie58@adventure-works.com,60000,2,Partial College,Professional,1
11218,MRS.,OLIVIA,BROWN,11/09/1950,S,F,olivia4@adventure-works.com,60000,2,Partial College,Professional,0
11219,MR.,CHARLES,COOK,02/12/1950,M,M,charles69@adventure-works.com,60000,2,High School,Professional,1
11220,MRS.,ERICA,HUANG,23/02/1950,M,F,erica5@adventure-works.com,60000,2,Partial College,Professional,1
11221,MR.,NATHAN,PERRY,10/06/1950,M,M,nathan3@adventure-works.com,70000,4,Partial College,Professional,1
11222,MRS.,ALEXANDRA,RIVERA,17/08/1950,M,F,alexandra11@adventure-works.com,80000,3,Bachelors,Management,1
11223,MRS.,HAILEY,PATTERSON,16/09/1951,S,F,hailey30@adventure-works.com,70000,2,High School,Professional,1
11224,MRS.,TIFFANY,LI,06/09/1951,S,F,tiffany3@adventure-works.com,70000,2,High School,Professional,1
11226,MRS.,SYDNEY,ROSS,27/09/1951,M,F,sydney26@adventure-works.com,60000,2,Partial College,Professional,1
11227,MR.,MARSHALL,CHAVEZ,12/08/1951,S,M,marshall35@adventure-works.com,60000,2,Partial College,Professional,1
11228,MRS.,ASHLEY,JONES,19/04/1951,M,F,ashley3@adventure-works.com,60000,2,Partial College,Professional,1
11229,MR.,ADRIAN,STEWART,03/12/1951,S,M,adrian21@adventure-works.com,70000,4,Partial College,Professional,1
11230,MRS.,AMBER,TURNER,03/04/1951,M,F,amber4@adventure-works.com,70000,4,Partial College,Professional,0
11231,MR.,DENNIS,ZHANG,14/11/1952,M,M,dennis1@adventure-works.com,60000,2,High School,Professional,1
11232,MRS.,HAILEY,BRYANT,27/09/1952,M,F,hailey38@adventure-works.com,60000,3,High School,Professional,0
11233,MR.,TODD,LI,09/09/1952,M,M,todd5@adventure-works.com,70000,4,Partial College,Professional,1
11234,NULL,ANNA,GRIFFIN,19/11/1952,S,NA,anna46@adventure-works.com,70000,4,Partial College,Professional,1
